2025-02-20 20:03:32.477Z | Remote Admin        | Administrative | MAŁGORZATA ROZENEK () disabled lobby lock.
2025-02-20 20:03:44.509Z | Connection update   | Networking     |  preauthenticated from endpoint .
2025-02-20 20:03:45.609Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 33. Auth token serial number: .
2025-02-20 20:03:45.609Z | Connection update   | Networking     | Nickname of  is now Bober.
2025-02-20 20:03:56.359Z | Game Event          | Game logic     | Round has been started.
2025-02-20 20:03:57.198Z | Connection update   | Networking     |  preauthenticated from endpoint .
2025-02-20 20:03:58.784Z | Game Event          | Door           | Gasiaja () opened GR18.
2025-02-20 20:03:58.884Z | Game Event          | Door           | Mao Yem () opened LCZ_WC.
2025-02-20 20:04:00.353Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 34. Auth token serial number: .
2025-02-20 20:04:00.353Z | Connection update   | Networking     | Nickname of  is now Toperz.
2025-02-20 20:04:06.714Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 35. Auth token serial number: .
2025-02-20 20:04:06.714Z | Connection update   | Networking     | Nickname of  is now Horace The Husky.
2025-02-20 20:04:08.334Z | Game Event          | Door           | Gasiaja () opened GR18_INNER.
2025-02-20 20:04:09.934Z | Game Event          | Door           | Mao Yem () opened 914.
2025-02-20 20:04:14.607Z | Game Event          | Door           | Mao Yem () closed 914.
2025-02-20 20:04:16.716Z | Game Event          | Door           | Tommy () opened LCZ_CAFE.
2025-02-20 20:04:20.228Z | Game Event          | Door           | adaś () opened 173_BOTTOM.
2025-02-20 20:04:27.999Z | Game Event          | Door           | Bober () opened CHECKPOINT_EZ_HCZ_A.
2025-02-20 20:04:31.048Z | Game Event          | Door           | adaś () opened 173_ARMORY.
2025-02-20 20:04:33.265Z | Game Event          | Door           | ArashiNek00 () closed GR18.
2025-02-20 20:04:34.002Z | Game Event          | Door           | adaś () opened 173_CONNECTOR.
2025-02-20 20:04:37.174Z | Game Event          | Door           | adaś () opened 173_GATE.
2025-02-20 20:04:46.325Z | Game Event          | Door           | Gasiaja () opened GR18.
2025-02-20 20:04:49.246Z | Game Event          | Door           | Traky () opened 914.
2025-02-20 20:04:49.953Z | Game Event          | Door           | Howler () opened CHECKPOINT_EZ_HCZ_A.
2025-02-20 20:05:04.854Z | Game Event          | Door           | Misiu () opened CHECKPOINT_LCZ_A.
2025-02-20 20:05:21.881Z | Game Event          | Door           | MAŁGORZATA ROZENEK () closed 914.
2025-02-20 20:05:26.774Z | Kill                | Class change   | Traky (), playing as Class-D Personnel, has been killed by Jan Glin () playing as: SCP-049. Specific death reason: Killed directly by SCP-049 (Jan Glin).
2025-02-20 20:05:31.267Z | Game Event          | Door           | Bober () opened CHECKPOINT_LCZ_B.
2025-02-20 20:05:32.003Z | Kill                | Class change   | smokie (), playing as Class-D Personnel, has been killed by Jan Glin () playing as: SCP-049. Specific death reason: Died to a heart-attack forced by SCP-049 (Jan Glin).
2025-02-20 20:05:36.413Z | Game Event          | Door           | Mao Yem () opened LCZ_ARMORY.
2025-02-20 20:05:38.208Z | Game Event          | Door           | Mao Yem () closed LCZ_ARMORY.
2025-02-20 20:05:55.667Z | Game Event          | Door           | Howler () opened 096.
2025-02-20 20:06:03.506Z | Game Event          | Door           | Mao Yem () opened LCZ_ARMORY.
